stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
TMNSBNJF5_F5,F5,TAMAN SEREMBAN JAYA FASA 5,2.67353766,101.97988272,
TMNSBNJF5_TMNSBNJF5R,TMNSBNJF5R,TAMAN SEREMBAN JAYA FASA 5,2.67353766,101.97988271,
TMNSBNJF8_TMNSJ8,TMNSJ8,TAMAN SEREMBAN JAYA FASA 8,2.67472619,101.97608800,
TMNSBNJF8_TMNSBNJF8R,TMNSBNJF8R,TAMAN SEREMBAN JAYA FASA 8,2.67472619,101.97608800,
TMNSBNJYF4_TSBNJF4,TSBNJF4,TAMAN SEREMBAN JAYA FASA 4,2.67695777,101.97033003,
TMNSBNJYF4_TMNSBNJYF4R,TMNSBNJYF4R,TAMAN SEREMBAN JAYA FASA 4,2.67695777,101.97033002,
TMNSEMARAK_TS,TS,TMN SEMARAK,2.81424306,101.81079626,
TMNSEMARAK_TMNSEMARAK,TMNSEMARAK,TMN SEMARAK,2.81424306,101.81079626,
TMNSEMARAK_TMNSEMARAKR,TMNSEMARAKR,TMN SEMARAK,2.81424306,101.81079626,
TMNSLMNDIA_TMNSLMNDIA,TMNSLMNDIA,TAMAN SALAM NADIAH,2.48854321,102.19350457,
TMNSLMNDIA_TMNSLMNDIAR,TMNSLMNDIAR,TAMAN SALAM NADIAH,2.48854321,102.19350457,
TMNSNTSA_TMNSNTSA,TMNSNTSA,TMN SENTOSA,2.73856310,101.92853900,
TMNSNTSA_TMNSNTSAR,TMNSNTSAR,TMN SENTOSA,2.73856310,101.92853900,
TMNSNTSA_TSTSA,TSTSA,TMN SENTOSA,2.56407937,101.81612849,
TMNSNTSA_TSTSAR,TSTSAR,TMN SENTOSA,2.56407937,101.81612849,
TMNSRMBN_TSBR,TSBR,TAMAN SEREMBAN / TAMAN BINJAI,2.69884329,101.96200311,
TMNSRMBN_TSB,TSB,TAMAN SEREMBAN / TAMAN BINJAI,2.69884329,101.96200311,
TMNSRMBN_TMNSRMBN,TMNSRMBN,TAMAN SEREMBAN / TAMAN BINJAI,2.69884329,101.96214259,
TMNSRMBN_TMNSRMBNR,TMNSRMBNR,TAMAN SEREMBAN / TAMAN BINJAI,2.69870933,101.96200311,
TMNTMAG_TMNTMAG,TMNTMAG,TAMAN TEMIANG1,2.74280872,101.93929553,
TMNTMAG_TMNTMAGR,TMNTMAGR,TAMAN TEMIANG1,2.74280872,101.93929553,
TMNTMG2_TMNTMG2,TMNTMG2,TAMAN TEMIANG2,2.74284623,101.93926871,
TMNTMG2_TMNTMG2R,TMNTMG2R,TAMAN TEMIANG2,2.74284623,101.93926870,
TMNWOON_TMNWOON,TMNWOON,TAMAN WOON,2.47790752,102.21394435,
TMNWOON_TMNWOONR,TMNWOONR,TAMAN WOON,2.47790752,102.21394434,
TMP_TMP,TMP,TMN MULIA PAJAM,2.84588131,101.84344411,
TMP_TMPR,TMPR,TMN MULIA PAJAM,2.84588131,101.84344410,
TMWY2_TMWY2,TMWY2,TAMAN MEGAWEY2,2.73998620,101.95997070,
TMWY2_TMWY2R,TMWY2R,TAMAN MEGAWEY2,2.73998620,101.95997070,
TNCHLOG_TNCHLOG,TNCHLOG,TAMAN CHOONG LOONG,2.70743020,101.95567310,
TNCHLOG_TNCHLOGR,TNCHLOGR,TAMAN CHOONG LOONG,2.70743020,101.95567309,
TNCHLOG_TC,TC,TAMAN CHOONG LOONG,2.70743020,101.95567309,
TNHDTRCGKU_TDC,TDC,TANAH DATAR CHENGKAU,2.55091394,102.13047802,
TNHDTRCGKU_TNHDTRCGKUR,TNHDTRCGKUR,TANAH DATAR CHENGKAU,2.55091394,102.13047802,
TO1_TO1,TO1,TERMINAL1,2.72181482,101.93712831,
TO1_TO1R,TO1R,TERMINAL1,2.72188984,101.93708539,
TPEL_TPEL,TPEL,TMN PELANGI,2.75188560,101.96461558,
TPEL_TPELR,TPELR,TMN PELANGI,2.75188560,101.96461558,
TPEL_506,506,TMN PELANGI,2.75188560,101.96461558,
TPEL_506R,506R,TMN PELANGI,2.75188560,101.96461558,
TPEL_TMNPGI,TMNPGI,TMN PELANGI,2.75042816,101.96364462,
TPUT1_TPUT1,TPUT1,TABIKA PERPADUAN ULU TEMIANG 1,2.75290902,101.94116771,
TPUT1_TPUT1R,TPUT1R,TABIKA PERPADUAN ULU TEMIANG 1,2.75290902,101.94116771,
TPUT2_TPUT2,TPUT2,TABIKA PERPADUAN ULU TEMIANG 2,2.75290902,101.94116771,
TPUT2_TPUT2R,TPUT2R,TABIKA PERPADUAN ULU TEMIANG 2,2.75290902,101.94116771,
TRBIDH_TRBIDH,TRBIDH,TAMAN RASHIDA INDAH,2.74491988,101.95433199,
TRBIDH_TRBIDHR,TRBIDHR,TAMAN RASHIDA INDAH,2.74491988,101.95433199,
TREMBAU_TBR,TBR,PERHENTIAN BAS REMBAU,2.59200152,102.09255695,
TREMBAU_TBRR,TBRR,PERHENTIAN BAS REMBAU,2.59200152,102.09255695,
TREMBAU_TREMBAU,TREMBAU,PERHENTIAN BAS REMBAU,2.59200152,102.09255695,
TREMBAU_TREMBAUR,TREMBAUR,PERHENTIAN BAS REMBAU,2.59200152,102.09255695,
TSCOXTRA_TSCOXTRA,TSCOXTRA,TESCO EXTRA SEREMBAN 2,2.71186312,101.91331565,
TSCOXTRA_TSCOXTRAR,TSCOXTRAR,TESCO EXTRA SEREMBAN 2,2.71186312,101.91331565,
TSIN_TSIN,TSIN,TMN SENDAYAN INDAH,2.65716441,101.88040494,
TSIN_TSINR,TSINR,TMN SENDAYAN INDAH,2.65716441,101.88040494,
TSPLAI1_TSPLAI1,TSPLAI1,TAMAN SRI PULAI 1,2.74804910,101.94138765,
TSPLAI1_TSPLAI1R,TSPLAI1R,TAMAN SRI PULAI 1,2.74804910,101.94138765,
TSPLI2_TSPLI2,TSPLI2,TAMAN SRI PULAI 2,2.74819913,101.94138765,
TSPLI2_TSPLI2R,TSPLI2R,TAMAN SRI PULAI 2,2.74819913,101.94138765,
TSPNG_TSPNG,TSPNG,TAMAN SRI PINANG,2.72700415,101.89477312,
TSPNG_TSPNGR,TSPNGR,TAMAN SRI PINANG,2.72683024,101.89470648,
TSTB_TANB,TANB,TAN BROTHERS,2.72632120,101.93687886,
TSTB_TANBR,TANBR,TAN BROTHERS,2.72632120,101.93687886,
TTE_TTE,TTE,TEBING TINGGI ELER,2.74648522,101.83493913,
TTE_TTER,TTER,TEBING TINGGI ELER,2.74656068,101.83487536,
TTJAAFAR_TJ,TJ,TAMAN TUNKU JAAFAR,2.67387200,101.99400695,
TTJAAFAR_TJR,TJR,TAMAN TUNKU JAAFAR,2.67387200,101.99400695,
TTJAAFAR_TTJ,TTJ,TAMAN TUNKU JAAFAR,2.67387200,101.99400695,
TTJAAFAR_TTJR,TTJR,TAMAN TUNKU JAAFAR,2.67387200,101.99400695,
TTJAAFAR_TTJAAFAR,TTJAAFAR,TAMAN TUNKU JAAFAR,2.67296697,101.98899150,
TTJAAFAR_TTJAAFARR,TTJAAFARR,TAMAN TUNKU JAAFAR,2.67292946,101.98889494,
TTL_TTL,TTL,TAMAN TIROI LABU,2.73975700,101.87113433,
TTL_TTLR,TTLR,TAMAN TIROI LABU,2.73956578,101.87121270,
TTNJ_TTN,TTN,TAMAN TUNKU NAJIHAH,2.67733957,101.98316574,
TTNJ_TTNR,TTNR,TAMAN TUNKU NAJIHAH,2.67733957,101.98316574,
TTNJ_TTNJ,TTNJ,TAMAN TUNKU NAJIHAH,2.67751640,101.98307991,
TTNJ_TTNJR,TTNJR,TAMAN TUNKU NAJIHAH,2.67733957,101.98316574,
TTS_TTS,TTS,TMN TONG SENG,2.82552148,101.88677788,
TTS_TTSR,TTSR,TMN TONG SENG,2.82552148,101.88677787,
ULUSP_ULUSPR,ULUSPR,SIMPANG KAMPUNG ULU SEPRI,2.62510855,102.05715716,
ULUSP_ULUSP,ULUSP,SIMPANG KAMPUNG ULU SEPRI,2.62563372,102.05716252,
ULUSP_US,US,SIMPANG KAMPUNG ULU SEPRI,2.62510855,102.05715716,
ULUSP_ISR,ISR,SIMPANG KAMPUNG ULU SEPRI,2.62510855,102.05715716,
UPS2_UPS2,UPS2,UPTOWN S2,2.69592648,101.90844021,
UPS2_UPS2R,UPS2R,UPTOWN S2,2.69592648,101.90844021,
USIM_USIM,USIM,KOLEJ KEDIAMAN ACASIA AVENUE USIM1,2.84290773,101.78479493,
USIM_USIMR,USIMR,KOLEJ KEDIAMAN ACASIA AVENUE USIM1,2.84296666,101.78493440,
USIM_USIM1,USIM1,KOLEJ KEDIAMAN ACASIA AVENUE USIM1,2.83633367,101.78743958,
VBYUK_VBYUK,VBYUK,VICTOR BYUCK,2.70272582,101.91743081,
VBYUK_VBYUKR,VBYUKR,VICTOR BYUCK,2.70272582,101.91743081,
VETERINA_VETERINA,VETERINA,VETERINA,2.47419479,102.22492129,
VETERINA_VETERINAR,VETERINAR,VETERINA,2.47419479,102.22492128,
WBBN2_WBBN2,WBBN2,WISMA BBN 2,2.81219632,101.79472446,
WISMABBN_WISMABBN,WISMABBN,WISMA BBN,2.81219632,101.79472446,
WISMABBN_WISMABBNR,WISMABBNR,WISMA BBN,2.81219632,101.79472446,
WWPDS_WWPDS,WWPDS,AIR PANAS PEDAS,2.63309848,102.05394387,
WWPDS_WWPDSR,WWPDSR,AIR PANAS PEDAS,2.63309848,102.05394387,
WWPDS_APP,APP,AIR PANAS PEDAS,2.63309848,102.05394387,
WWPDS_APPR,APPR,AIR PANAS PEDAS,2.63309848,102.05394387,
YAMAKO_YAMAKO,YAMAKO,KILANG YAMAKOH,2.80716717,101.91753022,
YAMAKO_YAMAKOR,YAMAKOR,KILANG YAMAKOH,2.80716717,101.91753022,
ZENMART_ZENMART,ZENMART,ZE MART REMBAU,2.59794456,102.07215071,
ZENMART_ZENMARTR,ZENMARTR,ZE MART REMBAU,2.59766590,102.07240283,
ZENMART_ZM,ZM,ZE MART REMBAU,2.59794456,102.07215071,
